#0
fun, crew, great, lot, place, people, get, go, fuck, little, friendly, pretty, want, amazing, thing, couple, wait, surface, work, day, way, hour, try, know, need, right, busy, especially, ask, good, come, service, have, night, sit, like, food, fluffiness, review, parties, stop, high, free, carelessness, location, add, meal, new, customer, buy, area, tuesday, guy, road, money, saturday, flour, maybe, door, save, chicken, vegas, screw, live, star, beef, lucky, tequila, group, wish, flat, important, major, extra, fajitas, limo, chip, atmosphere, help, yesterday, half, today, friday, ride, taco, street, stand, correct, entrance, easy, husband, phone, lazy, nachos, bachelor, birthday, tire, hire, best, strip

#1
follow, thoroughly, initial, direct, filter, day, work, sure, grimaldi, need, home, couple, customer, service, visit, take, actually, year, ask, time, know, modification, week, go, stucco, different, recommend, way, hour, let, great, get, come, call, give, feel, bad, tell, have, friend, away, place, try, look, close, good, new, experience, job, pay, use, house, show, worth, highly, exact, issue, server, entire, explain, drive, begin, nice, installation, husband, helpful, live, multiple, extremely, pleased, progress, waste, figure, say, fault, minute, able, pleasant, staff, option, bring, water, travel, food, terrible, extra, additional, old, vegas, warranty, return, initially, music, drink, encounter, charge, sub, friendly, fix, remove

#2
compare, beauty, avenue, castle, novelty, princess, disneyland, lot, decent, think, pretty, enjoy, year, experience, good, end, get, let, want, right, can, thing, nice, feel, see, afar, wait, place, favorite, little, look, high, wish, walk, time, away, visit, run, new, person, hard, customer, say, return, friendly, go, day, month, middle, vegas, fact, standard, late, stand, stay, care, spot, come, greet, begin, great, group, happen, kinda, home, yes, hand, parking, decide, city, numerous, luxurious, plus, close, super, cheap, one, hour, appreciate, sure, know, las, ask, boba, park, husband, strip, space, hope, crowded, luxury, upgrade, kind, frustrate, baby, need, friend, promptly, area, tea

#3
lake, hill, transport, monona, clean, go, way, staff, like, bit, large, job, thing, great, friendly, good, resteraunts, pretty, keep, come, hour, food, oh, new, feel, love, people, end, huge, green, cafe, right, breakfast, high, reward, stuff, vegas, near, space, restaurant, price, thanks, locate, park, place, probably, slice, meal, ride, miss, soft, can, water, cost, view, kind, turn, experience, make, brown, cool, sure, sun, easy, immediately, walk, day, fresh, give, dinner, sandwich, quickly, tasty, bad, las, watch, flavor, wash, cold, vinaigrette, store, desert, sound, know, start, potato, open, enjoy, leave, point, microwave, taste, star, item, scenery, look, blast, plan, eat, road

#4
joint, consistently, place, good, gilbert, adorable, ordinary, food, like, time, restaurant, affair, service, little, expect, visit, look, different, bloated, feel, bungalow, think, experience, quality, taste, run, family, use, awesome, area, perfect, tell, lunch, decor, breakfast, occasion, cook, ingredient, lack, impressed, local, texture, terrible, shrimp, excited, not, heavy, fair, unimpressionable, piece, center, grab, lot, go, grand, can, see, clearance, come, anyways, parking, worth, east, tip, swing, tucson, valley, leave, depot, bargain, left, sign, avail, copenhagen, craigslist, ave, phx, cut, exit, shopping, home, aand, definalty, fatouche, setiing, brandie, cescon, aquired, depthness, advisability, optimize, basalmic, gua, magnifier, spadoni, pannini, unpredictability, taisting, kalologie, pocketsizedelle

#5
happen, vip, handful, ish, friend, time, go, week, long, year, take, night, table, place, little, love, food, great, pas, juste, cool, true, annoying, highly, reason, joint, tout, pour, usually, recommend, staff, club, new, monde, y, real, amis, il, fancy, mon, le, en, encore, comme, fly, commander, était, les, à, live, soir, musique, france, pris, avec, continue, ticket, mal, short, du, bien, sont, par, offert, complaint, local, et, beaucoup, une, que, la, vodka, nous, trop, vraiment, des, ce, mais, deux, crave, ou, single, là, très, dive, ne, coca, ils, tu, ont, étaient, paris, alors, dose, contre, sympas, carré, coûte, voir, ridicule

#6
host, epic, relationship, log, big, robertos, want, way, sheets, go, sure, great, let, worth, come, place, bad, good, gibson, time, service, definitely, thing, take, actually, like, love, end, high, have, favorite, maybe, drink, awesome, location, vegas, new, job, fan, say, care, run, guy, plus, try, especially, food, personal, plan, trip, touch, share, look, weekend, happy, right, excellent, be, better, bar, lot, save, las, unfriendly, event, suggest, bomb, saturday, tip, money, particular, party, u, bring, america, lack, type, vega, wait, fit, vip, order, cheese, mood, kinda, fry, decide, absolutely, leave, buy, night, yummy, delicious, server, pretty, gotta, evening, disappoint, california, register

#7
mom, expectation, pop, everytime, exceed, material, good, go, sand, peep, visit, want, come, place, take, delightfully, definitely, finally, like, recommend, amazing, service, friend, setback, food, order, price, far, quality, call, check, town, taste, happy, menu, guy, receive, thanks, exactly, dessert, base, knowledgable, dish, minute, excellent, landscape, company, california, chicken, local, pork, ball, matter, ready, estimate, bun, pizza, final, phone, future, backyard, golden, shrimp, nearly, adequate, product, beat, build, honest, hire, slow, contractor, dim, pool, sum, pools, landslide, upgrade, design, special, stay, free, gym, drinks, reason, breakfast, small, room, setiing, shet, teardown, arounds, fatouche, coif, definalty, aand, cuite, cescon, taramisu, chouchouté

#8
starter, hook, industry, direction, recipe, definite, chemical, keeper, know, shellac, friend, good, can, stop, long, precision, nina, succotash, place, price, go, visit, head, eat, wish, quality, close, delicious, check, family, figure, awesome, job, sweet, month, entire, share, business, hand, chicken, dessert, corn, fine, salad, constantly, budget, funny, appreciate, regret, chop, cut, wow, scottsdale, okay, wrong, brussels, hair, angeles, best, nail, buttermilk, water, incredible, absolutely, burger, los, roasted, sprout, affordable, butterbean, acrylic, ray, waitstaff, engaging, mumus, aquired, interrior, whaaaaa, pocketsizedelle, correlation, dissappered, depthness, teaspresso, soufflet, artiste, pickier, ramma, laing, coif, eq, trival, dippa, staffers, schrewd, brandie, asymmetry, setiing, narai, optimize, pannini

#9
write, bland, food, bad, home, good, service, little, staff, friendly, wait, enjoy, taste, bar, job, minute, total, addition, salsa, inside, half, ridiculous, wash, outside, interior, complete, car, as, horrible, teardown, whaaaaa, cescon, definalty, fatouche, setiing, taramisu, aand, hamdulila, arounds, orrechiette, kamikazi, payton, definataly, bef, markes, phô, nevarez, recluse, shet, tgifriday, mazatlan, jouce, picka, dippa, brandie, asymmetry, ramma, pickier, coif, toyama, artiste, loveeeeeee, teaspresso, eq, clobber, totter, bouse, tonopah, quartzsite, ayyam, chalant, haydee, colposcopy, cuttwood, aquatinis, danmar, swgas, rly, narai, schrewd, trival, bates, pannini, aquired, depthness, kilauea, clubber, kalologie, optimize, pocketsizedelle, staffers, mumus, dissappered, soufflet, interrior, correlation, herbally, corodisone, laing, yesteday

#10
shower, tower, bed, tub, bathroom, big, nice, little, tv, robe, comfortable, appoint, bit, like, thing, spacious, atlantic, work, open, look, room, need, lots, experience, lot, people, stay, get, hotel, ballpark, go, hd, good, night, key, minibar, broccolini, close, screen, hdtv, great, start, fairmont, way, time, hour, home, sit, try, certification, place, love, leed, hott, staid, head, compressed, see, dani, include, bring, bar, pay, staff, valet, add, caesars, door, maybe, street, keep, space, toilet, upgrade, job, extra, guest, small, favorite, family, view, stand, price, channel, friend, light, check, reason, believe, spot, new, year, cool, selection, standard, prefer, forward, separate, city, help

#11
heat, winter, closing, bird, july, walkway, savor, hour, visit, right, time, way, sit, nice, want, excursion, friend, year, worth, food, think, dinner, sure, place, like, staff, share, friendly, town, open, new, busy, trip, month, use, pass, arrive, long, drive, middle, great, wonderful, eye, city, know, view, today, outside, menu, sort, item, people, save, take, wear, recent, thing, weekend, can, miss, longer, late, local, world, ago, shit, gym, class, hesitate, secret, change, notice, bad, sunday, bread, cheap, help, good, hike, read, golden, room, need, mall, remember, not, accident, pburg, lucky, bottle, alway, narrow, int, discover, spend, access, cab, friday, baking, gem

#12
waiter, food, order, restaurant, fault, come, ask, good, take, accord, say, time, german, wait, nice, place, eat, expect, like, enjoy, try, great, definitely, people, friendly, clean, probably, hour, review, hot, yes, tasty, course, ready, happy, item, impress, beer, helpful, honest, favor, pickup, phone, appetizer, patio, az, selection, wing, chorizo, brat, outdoor, winter, european, themed, uniquely, pretzel, look, go, shop, window, get, read, snack, cool, bike, realize, yelp, call, answer, weird, weekend, ahead, small, confirm, think, voice, see, count, speed, run, neighborhood, day, mail, ok, guess, reason, old, arounds, setiing, nicolette, advisability, spammed, carle, pannini, foodborne, ramma, lieberman, teaspresso, taisting, pickier

#13
